has,prefers,count
"Stanford","Stanford",17
"MIT","MIT",21
"Harvard","Harvard",50
"UC Berkeley","UC Berkeley",2
"Rochester","Rochester",2
"Chicago","Chicago",10
"Cornell","Cornell",2
"Northwestern","Northwestern",6
"Michigan","Michigan",12
"Columbia","Columbia",8
"Yale","Yale",8
"UPenn","UPenn",7
"Carnegie Mellon","Carnegie Mellon",3
"Wisconsin","Wisconsin",7
"UCLA","UCLA",5
"NYU","NYU",8
"Minnesota","Minnesota",5
"Illinois, Urb. Champ.","Illinois, Urb. Champ.",4
"Duke","Duke",4
"Purdue","Purdue",9
"Ohio State","Ohio State",7
"Iowa","Iowa",8
"UNC","UNC",5
"Wash. U. in St. Louis","Wash. U. in St. Louis",0
"Florida","Florida",3
"Lower 87 Universities","Lower 87 Universities",2000
"MIT","Stanford",10
"Harvard","Stanford",7
"UC Berkeley","Stanford",6
"Rochester","Stanford",3
"Chicago","Stanford",2
"Cornell","Stanford",1
"Northwestern","Stanford",3
"Michigan","Stanford",1
"Columbia","Stanford",1
"Yale","Stanford",4
"UPenn","Stanford",2
"Carnegie Mellon","Stanford",2
"Wisconsin","Stanford",1
"UCLA","Stanford",4
"NYU","Stanford",1
"Minnesota","Stanford",1
"Duke","Stanford",4
"Ohio State","Stanford",2
"Iowa","Stanford",1
"UNC","Stanford",1
"Lower 87 Universities","Stanford",2
"Stanford","MIT",18
"Harvard","MIT",10
"UC Berkeley","MIT",2
"Rochester","MIT",1
"Chicago","MIT",8
"Cornell","MIT",3
"Michigan","MIT",1
"Columbia","MIT",1
"Yale","MIT",1
"UPenn","MIT",6
"Wisconsin","MIT",2
"NYU","MIT",1
"Iowa","MIT",1
"Lower 87 Universities","MIT",3
"Stanford","Harvard",15
"MIT","Harvard",21
"UC Berkeley","Harvard",6
"Rochester","Harvard",4
"Chicago","Harvard",6
"Cornell","Harvard",4
"Northwestern","Harvard",4
"Michigan","Harvard",4
"Columbia","Harvard",3
"Yale","Harvard",2
"UPenn","Harvard",4
"Carnegie Mellon","Harvard",3
"UCLA","Harvard",2
"NYU","Harvard",2
"Duke","Harvard",3
"Purdue","Harvard",2
"Lower 87 Universities","Harvard",3
"Stanford","UC Berkeley",14
"MIT","UC Berkeley",8
"Harvard","UC Berkeley",7
"Rochester","UC Berkeley",1
"Chicago","UC Berkeley",3
"Cornell","UC Berkeley",1
"Northwestern","UC Berkeley",1
"Columbia","UC Berkeley",2
"Yale","UC Berkeley",2
"UPenn","UC Berkeley",2
"Wisconsin","UC Berkeley",5
"UCLA","UC Berkeley",1
"NYU","UC Berkeley",1
"Minnesota","UC Berkeley",1
"Florida","UC Berkeley",1
"Lower 87 Universities","UC Berkeley",2
"Stanford","Rochester",1
"MIT","Rochester",3
"Harvard","Rochester",2
"UC Berkeley","Rochester",2
"Chicago","Rochester",4
"Northwestern","Rochester",2
"Columbia","Rochester",1
"UPenn","Rochester",2
"Carnegie Mellon","Rochester",1
"UCLA","Rochester",1
"Duke","Rochester",1
"Purdue","Rochester",1
"UNC","Rochester",2
"Lower 87 Universities","Rochester",4
"Stanford","Chicago",4
"MIT","Chicago",16
"Harvard","Chicago",14
"UC Berkeley","Chicago",3
"Rochester","Chicago",3
"Cornell","Chicago",2
"Northwestern","Chicago",4
"Michigan","Chicago",5
"Columbia","Chicago",1
"Yale","Chicago",7
"UPenn","Chicago",3
"Wisconsin","Chicago",1
"UCLA","Chicago",4
"NYU","Chicago",2
"Illinois, Urb. Champ.","Chicago",1
"Duke","Chicago",3
"Purdue","Chicago",1
"UNC","Chicago",1
"Lower 87 Universities","Chicago",10
"Stanford","Cornell",1
"MIT","Cornell",3
"Harvard","Cornell",1
"UC Berkeley","Cornell",2
"Chicago","Cornell",3
"Northwestern","Cornell",1
"Michigan","Cornell",7
"Yale","Cornell",2
"UPenn","Cornell",4
