has,prefers,count
"Harvard","Harvard",5
"Yale","Yale",6
"UC Berkeley","UC Berkeley",6
"Princeton","Princeton",4
"Stanford","Stanford",3
"Chicago","Chicago",6
"Columbia","Columbia",6
"Brandeis","Brandeis",0
"Johns Hopkins","Johns Hopkins",2
"UPenn","UPenn",3
"Wisconsin, Madison","Wisconsin, Madison",2
"Michigan","Michigan",2
"UCLA","UCLA",5
"Northwestern","Northwestern",1
"Cornell","Cornell",1
"Brown","Brown",0
"UC Davis","UC Davis",0
"Rochester","Rochester",0
"NYU","NYU",1
"UC San Diego","UC San Diego",0
"Duke","Duke",2
"Minnesota","Minnesota",1
"Rutgers","Rutgers",0
"UNC","UNC",2
"Virginia","Virginia",1
"USC","USC",0
"Washington","Washington",1
"MIT","MIT",0
"UT Austin","UT Austin",4
"Emory","Emory",0
"Indiana","Indiana",0
"SUNY Stony Brook","SUNY Stony Brook",0
"Illinois, Urb. Champ.","Illinois, Urb. Champ.",1
"Wash. U. St. Louis","Wash. U. St. Louis",0
"UC Riverside","UC Riverside",0
"Michigan State","Michigan State",1
"UC Irvine","UC Irvine",0
"UC Santa Barbara","UC Santa Barbara",0
"SUNY Binghamton","SUNY Binghamton",0
"Georgetown","Georgetown",1
"Arizona","Arizona",0
"Maryland","Maryland",0
"Catholic Univ. America","Catholic Univ. America",0
"Florida","Florida",0
"Carnegie Mellon","Carnegie Mellon",0
"Pittsburgh","Pittsburgh",1
"Tufts","Tufts",0
"Notre Dame","Notre Dame",2
"Rice","Rice",0
"SUNY Buffalo","SUNY Buffalo",0
"UC Santa Cruz","UC Santa Cruz",0
"Boston Univ.","Boston Univ.",0
"Vanderbilt","Vanderbilt",0
"George Washington","George Washington",1
"UConn","UConn",0
"New Mexico","New Mexico",1
"Ohio State","Ohio State",3
"Georgia","Georgia",1
"Iowa","Iowa",1
"UMass Amherst","UMass Amherst",0
"Northern Illinois","Northern Illinois",0
"Miami","Miami",0
"Boston College","Boston College",1
"Illinois, Chicago","Illinois, Chicago",0
"Temple","Temple",0
"Claremont","Claremont",0
"LSU","LSU",0
"Kansas","Kansas",0
"Hawaii","Hawaii",3
"Case Western","Case Western",1
"Tulane","Tulane",0
"Wayne State","Wayne State",0
"Florida State","Florida State",0
"Drew","Drew",1
"Penn. State","Penn. State",1
"Princeton Theological Seminary","Princeton Theological Seminary",0
"William and Mary","William and Mary",0
"Cincinnati","Cincinnati",0
"Florida International","Florida International",0
"Tennessee","Tennessee",0
"Colorado","Colorado",0
"Ohio","Ohio",0
"Delaware","Delaware",1
"Oregon","Oregon",0
"Kentucky","Kentucky",1
"Toledo","Toledo",0
"American","American",0
"Georgia State","Georgia State",0
"Arizona State","Arizona State",0
"Missouri, Columbia","Missouri, Columbia",1
"Utah","Utah",3
"New Hampshire","New Hampshire",0
"SUNY Albany","SUNY Albany",0
"CUNY Graduate Center","CUNY Graduate Center",1
"Clark","Clark",0
"Houston","Houston",0
"Syracuse","Syracuse",0
