has,prefers,count
"Harvard","Harvard",4
"Yale","Yale",2
"UC Berkeley","UC Berkeley",2
"Princeton","Princeton",2
"Stanford","Stanford",0
"Chicago","Chicago",1
"Columbia","Columbia",8
"Brandeis","Brandeis",0
"Johns Hopkins","Johns Hopkins",1
"UPenn","UPenn",0
"Wisconsin, Madison","Wisconsin, Madison",0
"Michigan","Michigan",1
"UCLA","UCLA",3
"Northwestern","Northwestern",0
"Cornell","Cornell",1
"Brown","Brown",0
"UC Davis","UC Davis",0
"Rochester","Rochester",0
"NYU","NYU",0
"UC San Diego","UC San Diego",0
"Duke","Duke",0
"Minnesota","Minnesota",1
"Rutgers","Rutgers",1
"UNC","UNC",1
"Virginia","Virginia",0
"USC","USC",0
"Washington","Washington",1
"MIT","MIT",0
"UT Austin","UT Austin",0
"Emory","Emory",0
"Indiana","Indiana",0
"SUNY Stony Brook","SUNY Stony Brook",0
"Illinois, Urb. Champ.","Illinois, Urb. Champ.",1
"Wash. U. St. Louis","Wash. U. St. Louis",0
"UC Riverside","UC Riverside",0
"Michigan State","Michigan State",0
"UC Irvine","UC Irvine",0
"UC Santa Barbara","UC Santa Barbara",2
"SUNY Binghamton","SUNY Binghamton",0
"Georgetown","Georgetown",0
"Arizona","Arizona",1
"Maryland","Maryland",0
"Catholic Univ. America","Catholic Univ. America",0
"Florida","Florida",0
"Carnegie Mellon","Carnegie Mellon",0
"Pittsburgh","Pittsburgh",0
"Tufts","Tufts",0
"Notre Dame","Notre Dame",0
"Rice","Rice",0
"SUNY Buffalo","SUNY Buffalo",0
"UC Santa Cruz","UC Santa Cruz",0
"Boston Univ.","Boston Univ.",2
"Vanderbilt","Vanderbilt",0
"George Washington","George Washington",1
"UConn","UConn",1
"New Mexico","New Mexico",2
"Ohio State","Ohio State",3
"Georgia","Georgia",1
"Iowa","Iowa",0
"UMass Amherst","UMass Amherst",0
"Northern Illinois","Northern Illinois",0
"Miami","Miami",0
"Boston College","Boston College",0
"Illinois, Chicago","Illinois, Chicago",0
"Temple","Temple",0
"Claremont","Claremont",0
"LSU","LSU",0
"Kansas","Kansas",0
"Hawaii","Hawaii",0
"Case Western","Case Western",0
"Tulane","Tulane",1
"Wayne State","Wayne State",0
"Florida State","Florida State",3
"Drew","Drew",0
"Penn. State","Penn. State",0
"Princeton Theological Seminary","Princeton Theological Seminary",1
"William and Mary","William and Mary",0
"Cincinnati","Cincinnati",0
"Florida International","Florida International",0
"Tennessee","Tennessee",0
"Colorado","Colorado",0
"Ohio","Ohio",0
"Delaware","Delaware",2
"Oregon","Oregon",0
"Kentucky","Kentucky",0
"Toledo","Toledo",0
"American","American",0
"Georgia State","Georgia State",0
"Arizona State","Arizona State",0
"Missouri, Columbia","Missouri, Columbia",0
"Utah","Utah",0
"New Hampshire","New Hampshire",0
"SUNY Albany","SUNY Albany",0
"CUNY Graduate Center","CUNY Graduate Center",0
"Clark","Clark",0
"Houston","Houston",0
"Syracuse","Syracuse",0
"Marquette","Marquette",0
"Kent State","Kent State",0
"Bowling Green State","Bowling Green State",0
"Maine","Maine",1
"Mississippi","Mississippi",0
"Washington State, Pullman","Washington State, Pullman",0
"Miami at Ohio","Miami at Ohio",0
"Kansas State","Kansas State",0
"Oklahoma","Oklahoma",0
"Howard","Howard",0
"Missouri, Kansas City","Missouri, Kansas City",0
"Nebraska, Lincoln","Nebraska, Lincoln",0
"Jewish Theol. Sem. of America","Jewish Theol. Sem. of America",5
"Saint Johns","Saint Johns",0
"Northeastern","Northeastern",0
"Texas Christian","Texas Christian",0
"Auburn","Auburn",0
"Iowa State","Iowa State",0
"Graduate Theol. Union","Graduate Theol. Union",0
"Lehigh","Lehigh",0
"Purdue","Purdue",0
"South Carolina","South Carolina",0
"North Texas, Denton","North Texas, Denton",0
"Loyola Chicago","Loyola Chicago",1
"Texas A&M","Texas A&M",0
"Arkansas, Fayetteville","Arkansas, Fayetteville",0
"Northern Arizona","Northern Arizona",0
"West Virginia","West Virginia",0
"Fordham","Fordham",1
"Alabama, Tuscaloosa","Alabama, Tuscaloosa",0
"Southern Mississippi","Southern Mississippi",1
"Akron","Akron",0
"Texas, Dallas","Texas, Dallas",0
"Nevada, Reno","Nevada, Reno",0
"Illinois State","Illinois State",0
"Southern Illinois, Carbondale","Southern Illinois, Carbondale",0
"Southern Baptist Theol. Sem.","Southern Baptist Theol. Sem.",0
"Western Michigan","Western Michigan",0
"Saint Louis","Saint Louis",0
"Texas, Arlington","Texas, Arlington",0
"Idaho, Moscow","Idaho, Moscow",0
"Texas Tech","Texas Tech",0
"Memphis","Memphis",1
"Mississippi State","Mississippi State",0
"George Mason","George Mason",0
"Oklahoma State","Oklahoma State",0
"Middle Tennessee State","Middle Tennessee State",0
"Yale","Harvard",3
"UC Berkeley","Harvard",1
"Princeton","Harvard",1
"Columbia","Harvard",1
"Brandeis","Harvard",1
"Johns Hopkins","Harvard",1
"UPenn","Harvard",1
"Rochester","Harvard",1
"NYU","Harvard",1
"Duke","Harvard",1
"New Hampshire","Harvard",1
"UC Berkeley","Yale",1
"Stanford","Yale",3
"Columbia","Yale",1
"UPenn","Yale",1
"Cornell","Yale",2
"UNC","Yale",2
"Virginia","Yale",1
"Harvard","UC Berkeley",5
"Princeton","UC Berkeley",2
"Stanford","UC Berkeley",1
"Chicago","UC Berkeley",1
"Columbia","UC Berkeley",2
"UT Austin","UC Berkeley",1
"Harvard","Princeton",3
"Yale","Princeton",5
"UC Berkeley","Princeton",2
"UPenn","Princeton",1
"Wisconsin, Madison","Princeton",1
"Michigan","Princeton",1
"Minnesota","Princeton",1
"UC Santa Barbara","Princeton",1
"Harvard","Stanford",3
"UC Berkeley","Stanford",5
"Columbia","Stanford",1
"Michigan","Stanford",1
"Virginia","Stanford",1
"Yale","Chicago",4
"UC Berkeley","Chicago",1
"Princeton","Chicago",1
"Stanford","Chicago",2
"Columbia","Chicago",2
"Michigan","Chicago",1
"Brown","Chicago",1
"Harvard","Columbia",3
"Yale","Columbia",3
"Princeton","Columbia",2
"Stanford","Columbia",2
"Chicago","Columbia",1
"Brandeis","Columbia",1
"Johns Hopkins","Columbia",1
"UPenn","Columbia",1
"Michigan","Columbia",1
"UCLA","Columbia",1
"Northwestern","Columbia",1
"NYU","Columbia",2
"Duke","Columbia",1
