has,prefers,count
"Harvard","Harvard",5
"Yale","Yale",6
"UC Berkeley","UC Berkeley",6
"Princeton","Princeton",4
"Stanford","Stanford",3
"Chicago","Chicago",6
"Columbia","Columbia",6
"Brandeis","Brandeis",0
"Johns Hopkins","Johns Hopkins",2
"UPenn","UPenn",3
"Wisconsin, Madison","Wisconsin, Madison",2
"Michigan","Michigan",2
"UCLA","UCLA",5
"Northwestern","Northwestern",1
"Cornell","Cornell",1
"Brown","Brown",0
"UC Davis","UC Davis",0
"Rochester","Rochester",0
"NYU","NYU",1
"UC San Diego","UC San Diego",0
"Duke","Duke",2
"Minnesota","Minnesota",1
"Rutgers","Rutgers",0
"UNC","UNC",2
"Virginia","Virginia",1
"Lower 119 Universities","Lower 119 Universities",578
"Yale","Harvard",1
"UC Berkeley","Harvard",2
"Princeton","Harvard",1
"Stanford","Harvard",1
"Chicago","Harvard",1
"Columbia","Harvard",3
"Michigan","Harvard",1
"Brown","Harvard",1
"Duke","Harvard",1
"Virginia","Harvard",1
"Harvard","Yale",3
"UC Berkeley","Yale",3
"Princeton","Yale",2
"Stanford","Yale",1
"Chicago","Yale",1
"Columbia","Yale",3
"Johns Hopkins","Yale",1
"UPenn","Yale",1
"Wisconsin, Madison","Yale",3
"Michigan","Yale",1
"Brown","Yale",2
"Virginia","Yale",1
"Lower 119 Universities","Yale",7
"Harvard","UC Berkeley",5
"Yale","UC Berkeley",1
"Princeton","UC Berkeley",5
"Stanford","UC Berkeley",2
"Columbia","UC Berkeley",3
"UPenn","UC Berkeley",1
"Wisconsin, Madison","UC Berkeley",1
"UCLA","UC Berkeley",2
"Cornell","UC Berkeley",1
"Lower 119 Universities","UC Berkeley",1
"Harvard","Princeton",5
"Yale","Princeton",7
"UC Berkeley","Princeton",1
"Stanford","Princeton",2
"Chicago","Princeton",2
"Columbia","Princeton",2
"Brandeis","Princeton",1
"Johns Hopkins","Princeton",1
"UPenn","Princeton",4
"Wisconsin, Madison","Princeton",1
"Northwestern","Princeton",1
"Cornell","Princeton",1
"Harvard","Stanford",7
"Yale","Stanford",1
"UC Berkeley","Stanford",3
"Princeton","Stanford",2
"Chicago","Stanford",3
"Columbia","Stanford",2
"Wisconsin, Madison","Stanford",1
"Michigan","Stanford",2
"UCLA","Stanford",5
"Lower 119 Universities","Stanford",2
"Harvard","Chicago",5
"Yale","Chicago",3
"Princeton","Chicago",3
"Stanford","Chicago",2
"Columbia","Chicago",3
"Johns Hopkins","Chicago",1
"Wisconsin, Madison","Chicago",1
"Brown","Chicago",1
"Lower 119 Universities","Chicago",1
"Harvard","Columbia",13
"Yale","Columbia",5
"UC Berkeley","Columbia",3
"Princeton","Columbia",3
"Stanford","Columbia",4
"Chicago","Columbia",6
"Brandeis","Columbia",1
"UPenn","Columbia",1
"Wisconsin, Madison","Columbia",1
"Northwestern","Columbia",2
"Rochester","Columbia",2
"Rutgers","Columbia",1
"Lower 119 Universities","Columbia",3
