has,prefers,count
"Harvard","Harvard",4
"Yale","Yale",2
"UC Berkeley","UC Berkeley",2
"Princeton","Princeton",2
"Stanford","Stanford",0
"Chicago","Chicago",1
"Columbia","Columbia",8
"Brandeis","Brandeis",0
"Johns Hopkins","Johns Hopkins",1
"UPenn","UPenn",0
"Wisconsin, Madison","Wisconsin, Madison",0
"Michigan","Michigan",1
"UCLA","UCLA",3
"Northwestern","Northwestern",0
"Cornell","Cornell",1
"Brown","Brown",0
"UC Davis","UC Davis",0
"Rochester","Rochester",0
"NYU","NYU",0
"UC San Diego","UC San Diego",0
"Duke","Duke",0
"Minnesota","Minnesota",1
"Rutgers","Rutgers",1
"UNC","UNC",1
"Virginia","Virginia",0
"Lower 119 Universities","Lower 119 Universities",296
"Yale","Harvard",3
"UC Berkeley","Harvard",1
"Princeton","Harvard",1
"Columbia","Harvard",1
"Brandeis","Harvard",1
"Johns Hopkins","Harvard",1
"UPenn","Harvard",1
"Rochester","Harvard",1
"NYU","Harvard",1
"Duke","Harvard",1
"Lower 119 Universities","Harvard",1
"UC Berkeley","Yale",1
"Stanford","Yale",3
"Columbia","Yale",1
"UPenn","Yale",1
"Cornell","Yale",2
"UNC","Yale",2
"Virginia","Yale",1
"Harvard","UC Berkeley",5
"Princeton","UC Berkeley",2
"Stanford","UC Berkeley",1
"Chicago","UC Berkeley",1
"Columbia","UC Berkeley",2
"Lower 119 Universities","UC Berkeley",1
"Harvard","Princeton",3
"Yale","Princeton",5
"UC Berkeley","Princeton",2
"UPenn","Princeton",1
"Wisconsin, Madison","Princeton",1
"Michigan","Princeton",1
"Minnesota","Princeton",1
"Lower 119 Universities","Princeton",1
"Harvard","Stanford",3
"UC Berkeley","Stanford",5
"Columbia","Stanford",1
"Michigan","Stanford",1
"Virginia","Stanford",1
"Yale","Chicago",4
"UC Berkeley","Chicago",1
"Princeton","Chicago",1
"Stanford","Chicago",2
"Columbia","Chicago",2
"Michigan","Chicago",1
"Brown","Chicago",1
"Harvard","Columbia",3
"Yale","Columbia",3
"Princeton","Columbia",2
"Stanford","Columbia",2
"Chicago","Columbia",1
"Brandeis","Columbia",1
"Johns Hopkins","Columbia",1
"UPenn","Columbia",1
"Michigan","Columbia",1
"UCLA","Columbia",1
"Northwestern","Columbia",1
"NYU","Columbia",2
"Duke","Columbia",1
"Rutgers","Columbia",1
"Lower 119 Universities","Columbia",1
"Harvard","Brandeis",1
"Yale","Brandeis",1
"Stanford","Brandeis",1
"Harvard","Johns Hopkins",1
"Stanford","Johns Hopkins",1
"Columbia","Johns Hopkins",1
"Rochester","Johns Hopkins",1
"Lower 119 Universities","Johns Hopkins",2
"Harvard","UPenn",3
"Yale","UPenn",3
"Princeton","UPenn",1
"Stanford","UPenn",1
"Columbia","UPenn",2
"Wisconsin, Madison","UPenn",1
"Michigan","UPenn",3
"Brown","UPenn",1
"Duke","UPenn",1
"Lower 119 Universities","UPenn",2
"Harvard","Wisconsin, Madison",1
"Yale","Wisconsin, Madison",2
"UC Berkeley","Wisconsin, Madison",1
"Princeton","Wisconsin, Madison",2
"Columbia","Wisconsin, Madison",2
"Brandeis","Wisconsin, Madison",1
"Michigan","Wisconsin, Madison",1
"Northwestern","Wisconsin, Madison",1
"Cornell","Wisconsin, Madison",1
"Brown","Wisconsin, Madison",1
"Minnesota","Wisconsin, Madison",2
"Lower 119 Universities","Wisconsin, Madison",3
"Harvard","Michigan",2
"Yale","Michigan",1
"UC Berkeley","Michigan",2
"Princeton","Michigan",2
"Stanford","Michigan",4
"Chicago","Michigan",3
"Columbia","Michigan",6
"Johns Hopkins","Michigan",1
"UPenn","Michigan",2
"Wisconsin, Madison","Michigan",1
"Northwestern","Michigan",1
"UC Davis","Michigan",1
"NYU","Michigan",2
"Minnesota","Michigan",2
"Rutgers","Michigan",1
"Lower 119 Universities","Michigan",3
"Yale","UCLA",2
"Stanford","UCLA",2
"Chicago","UCLA",2
"Columbia","UCLA",1
"Northwestern","UCLA",1
"Cornell","UCLA",1
"Lower 119 Universities","UCLA",2
"Harvard","Northwestern",1
"UC Berkeley","Northwestern",2
"Princeton","Northwestern",2
"Chicago","Northwestern",1
"Columbia","Northwestern",1
"UPenn","Northwestern",1
"Wisconsin, Madison","Northwestern",1
"Michigan","Northwestern",2
"UCLA","Northwestern",1
"UNC","Northwestern",1
"Lower 119 Universities","Northwestern",2
"Harvard","Cornell",1
"UC Berkeley","Cornell",1
"Princeton","Cornell",1
"Stanford","Cornell",1
"Columbia","Cornell",2
"Northwestern","Cornell",1
"UC Davis","Cornell",1
"Lower 119 Universities","Cornell",2
"Harvard","Brown",3
"UC Berkeley","Brown",2
"Stanford","Brown",1
"Chicago","Brown",1
"Columbia","Brown",3
"Michigan","Brown",1
"Northwestern","Brown",1
"Lower 119 Universities","Brown",2
"Yale","UC Davis",1
"UC Berkeley","UC Davis",4
"Princeton","UC Davis",1
"Stanford","UC Davis",1
"Johns Hopkins","UC Davis",1
"Michigan","UC Davis",2
"UCLA","UC Davis",1
"Cornell","UC Davis",1
"Chicago","Rochester",1
"UC San Diego","Rochester",1
"Harvard","NYU",1
"Yale","NYU",3
"UC Berkeley","NYU",2
"Princeton","NYU",2
"Stanford","NYU",1
"Chicago","NYU",1
"Columbia","NYU",1
"Brandeis","NYU",1
"Johns Hopkins","NYU",1
"UPenn","NYU",1
"Michigan","NYU",1
"Northwestern","NYU",1
"Duke","NYU",2
"Lower 119 Universities","NYU",1
"Harvard","UC San Diego",1
"Yale","UC San Diego",1
"Stanford","UC San Diego",1
"Chicago","UC San Diego",1
"Columbia","UC San Diego",3
"Johns Hopkins","UC San Diego",1
"Michigan","UC San Diego",2
"UCLA","UC San Diego",1
"UC Davis","UC San Diego",1
"Minnesota","UC San Diego",1
"Harvard","Duke",1
"Yale","Duke",2
"UC Berkeley","Duke",1
"Princeton","Duke",1
"Stanford","Duke",1
"Columbia","Duke",1
"Johns Hopkins","Duke",1
"Wisconsin, Madison","Duke",2
"Michigan","Duke",3
"UCLA","Duke",1
"Brown","Duke",1
"UNC","Duke",1
"Lower 119 Universities","Duke",1
"Yale","Minnesota",5
"UC Berkeley","Minnesota",2
"Princeton","Minnesota",1
"Chicago","Minnesota",3
"Columbia","Minnesota",1
"Wisconsin, Madison","Minnesota",2
